phase,endpoint,first,second,metric,direction,pairs,task_groups,difference,ci95_low,ci95_high,resamples,analysis_seed
interaction_assessment,outcome_label,browser_use_base,browser_use_trained,mcc,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,browser_use_base,browser_use_trained,balanced_accuracy,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,browser_use_base,browser_use_trained,macro_f1,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,browser_use_base,browser_use_trained,accuracy,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,browser_use_trained,mcc,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,browser_use_trained,balanced_accuracy,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,browser_use_trained,macro_f1,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,browser_use_trained,accuracy,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,agent_s2_trained,mcc,second_minus_first,7,7,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,agent_s2_trained,balanced_accuracy,second_minus_first,7,7,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,agent_s2_trained,macro_f1,second_minus_first,7,7,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,agent_s2_trained,accuracy,second_minus_first,7,7,0.0,0.0,0.0,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,agent_s2_trained,mcc,second_minus_first,7,7,0.0454207925322786,-0.046913559528687754,0.23604892679653017,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,agent_s2_trained,balanced_accuracy,second_minus_first,7,7,0.0,0.0,0.0,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,agent_s2_trained,macro_f1,second_minus_first,7,7,0.033333333333333326,0.0,0.125,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,agent_s2_trained,accuracy,second_minus_first,7,7,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,webvoyager_trained,mcc,second_minus_first,11,11,0.27698250064370417,-0.2703418597801346,0.8100925873009825,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,webvoyager_trained,balanced_accuracy,second_minus_first,11,11,0.10416666666666669,-0.1818181818181818,0.45000000000000007,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,webvoyager_trained,macro_f1,second_minus_first,11,11,-0.02175602175602176,-0.26324786324786326,0.2095238095238095,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,webvoyager_trained,accuracy,second_minus_first,11,11,0.0,-0.2727272727272727,0.2727272727272727,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,webvoyager_trained,mcc,second_minus_first,11,11,0.32592442516291703,0.0,0.6563300805086758,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,webvoyager_trained,balanced_accuracy,second_minus_first,11,11,0.11111111111111105,0.0,0.33333333333333337,10000,20250831
