row_id,phase,action_type,eligible,valid,abstention,parse_error,coverage
agent_s2_base,interaction_assessment,CLICK,40,17,22,1,0.425
agent_s2_base,interaction_assessment,NAVIGATE,40,1,39,0,0.025
agent_s2_base,interaction_assessment,PRESS_KEY,40,4,36,0,0.1
agent_s2_base,interaction_assessment,SCROLL,40,1,39,0,0.025
agent_s2_base,interaction_assessment,SELECT,40,0,40,0,0.0
agent_s2_base,interaction_assessment,TYPE,40,3,37,0,0.075
agent_s2_base,recovery_assessment,CLICK,12,1,11,0,0.08333333333333333
agent_s2_base,recovery_assessment,NAVIGATE,28,2,26,0,0.07142857142857142
agent_s2_base,recovery_assessment,PRESS_KEY,20,1,19,0,0.05
agent_s2_base,recovery_assessment,SCROLL,20,2,18,0,0.1
agent_s2_base,recovery_assessment,SELECT,20,0,20,0,0.0
agent_s2_base,recovery_assessment,TYPE,20,6,14,0,0.3
agent_s2_trained,interaction_assessment,CLICK,40,9,31,0,0.225
agent_s2_trained,interaction_assessment,NAVIGATE,40,3,37,0,0.075
agent_s2_trained,interaction_assessment,PRESS_KEY,40,1,39,0,0.025
agent_s2_trained,interaction_assessment,SCROLL,40,13,27,0,0.325
agent_s2_trained,interaction_assessment,SELECT,40,2,38,0,0.05
agent_s2_trained,interaction_assessment,TYPE,40,7,33,0,0.175
agent_s2_trained,recovery_assessment,CLICK,12,0,12,0,0.0
agent_s2_trained,recovery_assessment,NAVIGATE,28,5,23,0,0.17857142857142858
agent_s2_trained,recovery_assessment,PRESS_KEY,20,0,20,0,0.0
agent_s2_trained,recovery_assessment,SCROLL,20,9,11,0,0.45
agent_s2_trained,recovery_assessment,SELECT,20,0,20,0,0.0
agent_s2_trained,recovery_assessment,TYPE,20,3,17,0,0.15
browser_use_base,interaction_assessment,CLICK,40,0,40,0,0.0
browser_use_base,interaction_assessment,NAVIGATE,40,0,40,0,0.0
browser_use_base,interaction_assessment,PRESS_KEY,40,0,40,0,0.0
browser_use_base,interaction_assessment,SCROLL,40,0,40,0,0.0
browser_use_base,interaction_assessment,SELECT,40,0,40,0,0.0
browser_use_base,interaction_assessment,TYPE,40,2,38,0,0.05
browser_use_base,recovery_assessment,CLICK,12,0,12,0,0.0
browser_use_base,recovery_assessment,NAVIGATE,28,1,27,0,0.03571428571428571
browser_use_base,recovery_assessment,PRESS_KEY,20,0,20,0,0.0
browser_use_base,recovery_assessment,SCROLL,20,0,20,0,0.0
browser_use_base,recovery_assessment,SELECT,20,0,20,0,0.0
browser_use_base,recovery_assessment,TYPE,20,1,19,0,0.05
browser_use_trained,interaction_assessment,CLICK,40,5,33,2,0.125
browser_use_trained,interaction_assessment,NAVIGATE,40,6,31,3,0.15
browser_use_trained,interaction_assessment,PRESS_KEY,40,1,26,13,0.025
browser_use_trained,interaction_assessment,SCROLL,40,21,15,4,0.525
browser_use_trained,interaction_assessment,SELECT,40,1,36,3,0.025
browser_use_trained,interaction_assessment,TYPE,40,17,18,5,0.425
browser_use_trained,recovery_assessment,CLICK,12,0,12,0,0.0
browser_use_trained,recovery_assessment,NAVIGATE,28,4,24,0,0.14285714285714285
browser_use_trained,recovery_assessment,PRESS_KEY,20,0,20,0,0.0
browser_use_trained,recovery_assessment,SCROLL,20,12,8,0,0.6
browser_use_trained,recovery_assessment,SELECT,20,0,20,0,0.0
browser_use_trained,recovery_assessment,TYPE,20,5,15,0,0.25
internvl_heads,interaction_assessment,CLICK,40,40,0,0,1.0
internvl_heads,interaction_assessment,NAVIGATE,40,40,0,0,1.0
internvl_heads,interaction_assessment,PRESS_KEY,40,40,0,0,1.0
internvl_heads,interaction_assessment,SCROLL,40,40,0,0,1.0
internvl_heads,interaction_assessment,SELECT,40,40,0,0,1.0
internvl_heads,interaction_assessment,TYPE,40,40,0,0,1.0
internvl_heads,recovery_assessment,CLICK,12,12,0,0,1.0
internvl_heads,recovery_assessment,NAVIGATE,28,28,0,0,1.0
internvl_heads,recovery_assessment,PRESS_KEY,20,20,0,0,1.0
internvl_heads,recovery_assessment,SCROLL,20,20,0,0,1.0
internvl_heads,recovery_assessment,SELECT,20,20,0,0,1.0
internvl_heads,recovery_assessment,TYPE,20,20,0,0,1.0
webvoyager_base,interaction_assessment,CLICK,40,1,37,2,0.025
webvoyager_base,interaction_assessment,NAVIGATE,40,4,36,0,0.1
webvoyager_base,interaction_assessment,PRESS_KEY,40,0,40,0,0.0
webvoyager_base,interaction_assessment,SCROLL,40,8,32,0,0.2
