phase,endpoint,first,second,metric,direction,pairs,task_groups,difference,ci95_low,ci95_high,resamples,analysis_seed
interaction_assessment,outcome_label,browser_use_base,browser_use_trained,mcc,second_minus_first,62,62,0.17316743975225835,0.0,0.2739676533065082,10000,20250831
interaction_assessment,outcome_label,browser_use_base,browser_use_trained,balanced_accuracy,second_minus_first,62,62,0.038461538461538436,0.0,0.08536585365853655,10000,20250831
interaction_assessment,outcome_label,browser_use_base,browser_use_trained,macro_f1,second_minus_first,62,62,0.08132814101250257,0.0,0.16827188171705726,10000,20250831
interaction_assessment,outcome_label,browser_use_base,browser_use_trained,accuracy,second_minus_first,62,62,0.04838709677419356,0.0,0.11290322580645162,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,browser_use_trained,mcc,second_minus_first,62,62,0.17505932598746982,0.0,0.27834391859301694,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,browser_use_trained,balanced_accuracy,second_minus_first,62,62,0.02857142857142858,0.0,0.06306306306306309,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,browser_use_trained,macro_f1,second_minus_first,62,62,0.04442346900249192,0.0,0.0899125775722642,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,browser_use_trained,accuracy,second_minus_first,62,62,0.04838709677419356,0.0,0.11290322580645162,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,agent_s2_trained,mcc,second_minus_first,82,81,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,agent_s2_trained,balanced_accuracy,second_minus_first,82,81,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,agent_s2_trained,macro_f1,second_minus_first,82,81,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,agent_s2_trained,accuracy,second_minus_first,82,81,0.0,0.0,0.0,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,agent_s2_trained,mcc,second_minus_first,82,81,-0.03649861916169541,-0.07016216752054528,0.0,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,agent_s2_trained,balanced_accuracy,second_minus_first,82,81,0.0,0.0,0.0,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,agent_s2_trained,macro_f1,second_minus_first,82,81,-0.0011467889908256812,-0.0037932669511616945,0.0,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,agent_s2_trained,accuracy,second_minus_first,82,81,0.0,0.0,0.0,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,webvoyager_trained,mcc,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,webvoyager_trained,balanced_accuracy,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,webvoyager_trained,macro_f1,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,webvoyager_trained,accuracy,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,webvoyager_trained,mcc,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,webvoyager_trained,balanced_accuracy,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,webvoyager_trained,macro_f1,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,webvoyager_trained,accuracy,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,outcome_label,browser_use_base,qwen25_heads,mcc,second_minus_first,87,86,0.6338603061051317,0.46077640565338396,0.7917971357086314,10000,20250831
interaction_assessment,outcome_label,browser_use_base,qwen25_heads,balanced_accuracy,second_minus_first,87,86,0.33425925925925926,0.2460301459293395,0.41410353535353545,10000,20250831
interaction_assessment,outcome_label,browser_use_base,qwen25_heads,macro_f1,second_minus_first,87,86,0.5738353936487818,0.4812592899423782,0.6640679660169915,10000,20250831
interaction_assessment,outcome_label,browser_use_base,qwen25_heads,accuracy,second_minus_first,87,86,0.5172413793103448,0.3908045977011494,0.6395577475829628,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,qwen25_heads,mcc,second_minus_first,87,86,0.6898596534163755,0.5679162034181882,0.8062004865358534,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,qwen25_heads,balanced_accuracy,second_minus_first,87,86,0.3855820105820106,0.33641117091694533,0.5452905842472324,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,qwen25_heads,macro_f1,second_minus_first,87,86,0.47300504171411034,0.39695387006515537,0.5400711004907133,10000,20250831
interaction_assessment,failure_type_4,browser_use_base,qwen25_heads,accuracy,second_minus_first,87,86,0.471264367816092,0.3448275862068966,0.595505617977528,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,qwen25_heads,mcc,second_minus_first,170,166,0.6584470091152769,0.5230232672362151,0.7833385300018009,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,qwen25_heads,balanced_accuracy,second_minus_first,170,166,0.35107655502392343,0.2817806363452324,0.4154835113438391,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,qwen25_heads,macro_f1,second_minus_first,170,166,0.6433865613553114,0.5746681030979854,0.7101254153653755,10000,20250831
interaction_assessment,outcome_label,agent_s2_base,qwen25_heads,accuracy,second_minus_first,170,166,0.6470588235294118,0.5614035087719298,0.727810650887574,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,qwen25_heads,mcc,second_minus_first,170,166,0.6412940329364692,0.5642118944334858,0.725232889475207,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,qwen25_heads,balanced_accuracy,second_minus_first,170,166,0.357280701754386,0.31491505929748825,0.39782989428822757,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,qwen25_heads,macro_f1,second_minus_first,170,166,0.47801765586192085,0.4258299368847002,0.5268384406635269,10000,20250831
interaction_assessment,failure_type_4,agent_s2_base,qwen25_heads,accuracy,second_minus_first,170,166,0.5176470588235295,0.4285714285714286,0.6035502958579881,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,qwen25_heads,mcc,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,qwen25_heads,balanced_accuracy,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,qwen25_heads,macro_f1,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,outcome_label,webvoyager_base,qwen25_heads,accuracy,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,qwen25_heads,mcc,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,qwen25_heads,balanced_accuracy,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,qwen25_heads,macro_f1,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,failure_type_4,webvoyager_base,qwen25_heads,accuracy,second_minus_first,0,0,,,,10000,20250831
interaction_assessment,outcome_label,browser_use_trained,qwen25_heads,mcc,second_minus_first,107,106,0.4726139779796131,0.2992612804612796,0.6553990033974704,10000,20250831
interaction_assessment,outcome_label,browser_use_trained,qwen25_heads,balanced_accuracy,second_minus_first,107,106,0.2973408541498791,0.20817619505608154,0.38008128508386146,10000,20250831
interaction_assessment,outcome_label,browser_use_trained,qwen25_heads,macro_f1,second_minus_first,107,106,0.4862705702257941,0.3669375101411601,0.5976954590302151,10000,20250831
interaction_assessment,outcome_label,browser_use_trained,qwen25_heads,accuracy,second_minus_first,107,106,0.4485981308411215,0.3207547169811321,0.5700934579439252,10000,20250831
interaction_assessment,failure_type_4,browser_use_trained,qwen25_heads,mcc,second_minus_first,107,106,0.47811500421611186,0.33932517858951144,0.6316067387228612,10000,20250831
interaction_assessment,failure_type_4,browser_use_trained,qwen25_heads,balanced_accuracy,second_minus_first,107,106,0.47691334598355467,0.41212519040619905,0.5380137844611528,10000,20250831
interaction_assessment,failure_type_4,browser_use_trained,qwen25_heads,macro_f1,second_minus_first,107,106,0.3829354359424597,0.29537132277627987,0.4630481990518164,10000,20250831
interaction_assessment,failure_type_4,browser_use_trained,qwen25_heads,accuracy,second_minus_first,107,106,0.38317757009345793,0.26415094339622636,0.5,10000,20250831
interaction_assessment,outcome_label,agent_s2_trained,qwen25_heads,mcc,second_minus_first,96,95,0.7029019463944166,0.5887609651089163,0.8118441408859887,10000,20250831
interaction_assessment,outcome_label,agent_s2_trained,qwen25_heads,balanced_accuracy,second_minus_first,96,95,0.3787878787878788,0.3257485569985569,0.4285714285714286,10000,20250831
interaction_assessment,outcome_label,agent_s2_trained,qwen25_heads,macro_f1,second_minus_first,96,95,0.5876760867686457,0.5140408820533044,0.657592526051024,10000,20250831
interaction_assessment,outcome_label,agent_s2_trained,qwen25_heads,accuracy,second_minus_first,96,95,0.5208333333333334,0.42105263157894735,0.6210526315789473,10000,20250831
